utt_id,child_id,session_id,utterance,utterance_clean,word_count,morph_count,utt_syllables_basic,utt_syllables_lenient,utt_syllables_strictY,utt_syllables_le,n_alpha_words,file,line_no,age_months,random_model_utterance_bin6,unigram_model_utterance_bin6,bigram_model_utterance_bin6,context_k1,context_k2,context_k3
25,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,179,24.233,noticed bubblebath papa's .,antlers pretend scot .,banders tail daisys .,shall you put him on the other end then ?,. shall you put him on the other end then ?,whoops . . shall you put him on the other end then ?
26,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,182,24.233,kiwis poking jon .,bzzz pammy starter .,bowees wobble gingerbread .,shall you put him on the other end then ?,. shall you put him on the other end then ?,whoops . . shall you put him on the other end then ?
27,Becky,1,<seesaw Margery Daw> [>] .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,185,24.233,parcels ketchup tantrum [>] .,tortoise cabs popup [>] .,lighting razor trampoline [>] .,shall you put him on the other end then ?,. shall you put him on the other end then ?,whoops . . shall you put him on the other end then ?
28,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,191,24.233,dipping .,hedgehogs .,hill .,do you think they're enjoying it ?,shall you put him on the other end then ? do you think they're enjoying it ?,. shall you put him on the other end then ? do you think they're enjoying it ?
29,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,194,24.233,ribbit map business .,chews yankee panto .,sneezer hotdog hab .,do you think they're enjoying it ?,shall you put him on the other end then ? do you think they're enjoying it ?,. shall you put him on the other end then ? do you think they're enjoying it ?
30,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,197,24.233,.,.,.,do you think they're enjoying it ?,shall you put him on the other end then ? do you think they're enjoying it ?,. shall you put him on the other end then ? do you think they're enjoying it ?
31,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,199,24.233,huckle milkman nectarine .,instead squished stand .,who'd best razors .,do you think they're enjoying it ?,shall you put him on the other end then ? do you think they're enjoying it ?,. shall you put him on the other end then ? do you think they're enjoying it ?
32,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,217,24.233,won everybody into .,someone tail's ambulance .,doug straw flip .,oh he's here .,don't know where he is . oh he's here .,hm . don't know where he is . oh he's here .
33,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,220,24.233,.,.,.,oh he's here .,don't know where he is . oh he's here .,hm . don't know where he is . oh he's here .
34,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,222,24.233,videos sorry carving .,neither whoosh soft .,bellyache fell problem .,oh he's here .,don't know where he is . oh he's here .,hm . don't know where he is . oh he's here .
35,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,228,24.233,full taste dickey .,margory paw tightened .,thinkee gulp tinkerbell's .,there you are .,oh he's here . there you are .,don't know where he is . oh he's here . there you are .
36,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,238,24.233,museum donald choose .,flashlight listen piccalilli .,ghosts paintbrushes bags .,yeah ?,that's a good one isn't it look . yeah ?,there you are . that's a good one isn't it look . yeah ?
37,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,241,24.233,.,.,.,yeah ?,that's a good one isn't it look . yeah ?,there you are . that's a good one isn't it look . yeah ?
38,Becky,1,whale up .,whale up .,2,2,2,3,2,2,2,Becky/020007.cha,246,24.233,pushed dis .,candied brick .,bronwyn's charmin .,do you wanna make a train up ?,yeah ? do you wanna make a train up ?,that's a good one isn't it look . yeah ? do you wanna make a train up ?
39,Becky,1,a whale up .,a whale up .,3,3,3,4,3,3,3,Becky/020007.cha,249,24.233,liam feets nine .,doubles photos sadiksha .,pikachu gail ink .,do you wanna make a train up ?,yeah ? do you wanna make a train up ?,that's a good one isn't it look . yeah ? do you wanna make a train up ?
40,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,255,24.233,pushchair .,steals .,jingler .,whale up ?,do you wanna make a train up ? whale up ?,yeah ? do you wanna make a train up ? whale up ?
41,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,262,24.233,.,.,.,up on here ?,whale up ? up on here ?,do you wanna make a train up ? whale up ? up on here ?
42,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,264,24.233,carwash town ellie's .,sawkie anda mariah .,pret kerplunk scratched .,up on here ?,whale up ? up on here ?,do you wanna make a train up ? whale up ? up on here ?
43,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,267,24.233,.,.,.,up on here ?,whale up ? up on here ?,do you wanna make a train up ? whale up ? up on here ?
44,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,269,24.233,cots stop cooling .,tie sherry rinse .,uranus brand applesauce .,up on here ?,whale up ? up on here ?,do you wanna make a train up ? whale up ? up on here ?
45,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,272,24.233,that wanted promise .,chu floatie munching .,dips kermit toad's .,up on here ?,whale up ? up on here ?,do you wanna make a train up ? whale up ? up on here ?
46,Becky,1,in .,in .,1,1,1,1,1,1,1,Becky/020007.cha,281,24.233,nina's .,insist .,buhbuhbuhbuhbahbah .,hm ?,who shall we put in the train ? hm ?,up on here ? who shall we put in the train ? hm ?
47,Becky,1,in .,in .,1,1,1,1,1,1,1,Becky/020007.cha,287,24.233,yard .,bogeyman .,loosen .,do you wanna put him in ?,hm ? do you wanna put him in ?,who shall we put in the train ? hm ? do you wanna put him in ?
48,Becky,1,seal .,seal .,1,1,1,1,1,1,1,Becky/020007.cha,293,24.233,butter .,col .,koalas .,who is who is this ?,do you wanna put him in ? who is who is this ?,hm ? do you wanna put him in ? who is who is this ?
49,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,308,24.233,desk tel numbers .,tick pancake butter .,sick phant bridget's .,yeah ?,sit him like this . yeah ?,well he doesn't fit in very well . sit him like this . yeah ?
50,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,311,24.233,.,.,.,yeah ?,sit him like this . yeah ?,well he doesn't fit in very well . sit him like this . yeah ?
51,Becky,1,happy_birthday .,happy_birthday .,2,1,4,4,5,4,2,Becky/020007.cha,321,24.233,i've crane .,makes olwin .,mompster canes .,can you sing .,why don't you sing something else for us ? can you sing .,. why don't you sing something else for us ? can you sing .
52,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,327,24.233,home .,pleases .,baton .,happy_birthday ?,can you sing . happy_birthday ?,why don't you sing something else for us ? can you sing . happy_birthday ?
53,Becky,1,happy_birthday to +...,happy_birthday to .,3,3,5,5,6,5,3,Becky/020007.cha,333,24.233,mood later nurse +...,designs diaper griz's +...,fishhead hunter dustbin +...,go on then .,happy_birthday ? go on then .,can you sing . happy_birthday ? go on then .
54,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,336,24.233,drill threading matching .,bond dadidi hick .,needles emptying hannah .,go on then .,happy_birthday ? go on then .,can you sing . happy_birthday ? go on then .
55,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,339,24.233,lovely jay cou .,lanny scooper saucepan .,policemans smoke stale .,go on then .,happy_birthday ? go on then .,can you sing . happy_birthday ? go on then .
56,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,342,24.233,chore wrappings ticktock .,favorite twig obstacle .,will bzzz trace .,go on then .,happy_birthday ? go on then .,can you sing . happy_birthday ? go on then .
57,Becky,1,seesaw Margery Daw .,seesaw Margery Daw .,3,3,6,6,6,6,3,Becky/020007.cha,345,24.233,bubblebath fishy twos .,pussy's shuts match .,toddler's smith's grainer .,go on then .,happy_birthday ? go on then .,can you sing . happy_birthday ? go on then .
58,Becky,1,seesaw .,seesaw .,1,1,2,2,2,2,1,Becky/020007.cha,348,24.233,hopping .,gorgeous .,gonn .,go on then .,happy_birthday ? go on then .,can you sing . happy_birthday ? go on then .
59,Becky,1,wheelbarrow .,wheelbarrow .,1,1,3,3,3,3,1,Becky/020007.cha,355,24.233,main .,bah .,planted .,and what's this here look ?,go on then . and what's this here look ?,happy_birthday ? go on then . and what's this here look ?
60,Becky,1,push .,push .,1,1,1,1,1,1,1,Becky/020007.cha,361,24.233,slippers .,costume .,topper .,and what .,and what's this here look ? and what .,go on then . and what's this here look ? and what .
61,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,367,24.233,banging .,moma .,spoil .,you wanna push it ?,and what . you wanna push it ?,and what's this here look ? and what . you wanna push it ?
62,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,376,24.233,pope .,lightyear .,germ .,the fish ?,what do we put put in it ? the fish ?,you wanna push it ? what do we put put in it ? the fish ?
63,Becky,1,in .,in .,1,1,1,1,1,1,1,Becky/020007.cha,382,24.233,vehicle .,alli .,centipede .,fishes ?,the fish ? fishes ?,what do we put put in it ? the fish ? fishes ?
64,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,388,24.233,backyard .,tanny .,switching .,and shall we have a little man pushing it ?,fishes ? and shall we have a little man pushing it ?,the fish ? fishes ? and shall we have a little man pushing it ?
65,Becky,1,wheelbarrow .,wheelbarrow .,1,1,3,3,3,3,1,Becky/020007.cha,391,24.233,margarine .,abou .,marker .,and shall we have a little man pushing it ?,fishes ? and shall we have a little man pushing it ?,the fish ? fishes ? and shall we have a little man pushing it ?
66,Becky,1,in .,in .,1,1,1,1,1,1,1,Becky/020007.cha,394,24.233,dieda .,mometer .,pon .,and shall we have a little man pushing it ?,fishes ? and shall we have a little man pushing it ?,the fish ? fishes ? and shall we have a little man pushing it ?
67,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,400,24.233,bones .,grainer .,engineer .,you've got a wheelbarrow haven't you ?,and shall we have a little man pushing it ? you've got a wheelbarrow haven't you ?,fishes ? and shall we have a little man pushing it ? you've got a wheelbarrow haven't you ?
68,Becky,1,dolly Andy in [?] .,dolly Andy in .,3,3,5,5,5,5,3,Becky/020007.cha,406,24.233,whisper silverware help [?] .,archer gadig underpants [?] .,dak prince rooster [?] .,it's outside .,you've got a wheelbarrow haven't you ? it's outside .,and shall we have a little man pushing it ? you've got a wheelbarrow haven't you ? it's outside .
69,Becky,1,&~a:h .,.,0,0,0,0,0,0,0,Becky/020007.cha,416,24.233,.,.,.,but I've brought dolly in now .,dolly and Andy were in it weren't they ? but I've brought dolly in now .,it's outside . dolly and Andy were in it weren't they ? but I've brought dolly in now .
70,Becky,1,big toe .,big toe .,2,2,2,2,2,2,2,Becky/020007.cha,417,24.233,tubbies altogether .,stable rightie .,basket food .,but I've brought dolly in now .,dolly and Andy were in it weren't they ? but I've brought dolly in now .,it's outside . dolly and Andy were in it weren't they ? but I've brought dolly in now .
71,Becky,1,big toe .,big toe .,2,2,2,2,2,2,2,Becky/020007.cha,424,24.233,hap doo .,flippy larger .,nibble cuttings .,pardon ?,but I've brought dolly in now . pardon ?,dolly and Andy were in it weren't they ? but I've brought dolly in now . pardon ?
72,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,430,24.233,somersault .,window .,duh .,a big toe ?,pardon ? a big toe ?,but I've brought dolly in now . pardon ? a big toe ?
73,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,436,24.233,bro .,rosies .,abc .,is that what she's got ?,a big toe ? is that what she's got ?,pardon ? a big toe ? is that what she's got ?
74,Becky,1,whee .,whee .,1,1,1,1,1,1,1,Becky/020007.cha,447,24.233,hatch .,nowhe .,stair .,hm ?,is that what you can see ? hm ?,is that what she's got ? is that what you can see ? hm ?
75,Becky,1,mhm .,mhm .,1,1,1,1,1,1,1,Becky/020007.cha,454,24.233,tiggy's .,hippos .,golf .,are you going to push him along ?,hm ? are you going to push him along ?,is that what you can see ? hm ? are you going to push him along ?
76,Becky,1,a wheel .,a wheel .,2,2,2,2,2,2,2,Becky/020007.cha,463,24.233,steak coconuts .,sniffed waking .,saving hippos .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
77,Becky,1,in there .,in there .,2,2,2,3,2,2,2,Becky/020007.cha,466,24.233,woodpeckers wiggly .,whether gummy .,landing pleasy .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
78,Becky,1,there .,there .,1,1,1,2,1,1,1,Becky/020007.cha,469,24.233,sandy .,ds .,eileen .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
79,Becky,1,there .,there .,1,1,1,2,1,1,1,Becky/020007.cha,472,24.233,motorcars .,swing .,case .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
80,Becky,1,fish .,fish .,1,1,1,1,1,1,1,Becky/020007.cha,475,24.233,wrist .,birthdays .,asha .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
81,Becky,1,in there .,in there .,2,2,2,3,2,2,2,Becky/020007.cha,478,24.233,unpleasant sled .,set eeyore's .,megablock bail .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
82,Becky,1,fishy .,fishy .,1,1,2,2,2,2,1,Becky/020007.cha,481,24.233,saw .,coolest .,growing .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
83,Becky,1,in there .,in there .,2,2,2,3,2,2,2,Becky/020007.cha,484,24.233,james's candies .,ichthyosaurus computer .,noble cooks .,push him along .,come on . push him along .,are you going to push him along ? come on . push him along .
84,Becky,1,fishy .,fishy .,1,1,2,2,2,2,1,Becky/020007.cha,499,24.233,wool .,outta .,meelmy .,.,there we are look . .,all right . there we are look . .
85,Becky,1,choo^choo@o .,choo^choo .,2,1,2,2,2,2,2,Becky/020007.cha,508,24.233,movies stair .,splashy pips .,dash gabby's .,how does the train go ?,there you are . how does the train go ?,. there you are . how does the train go ?
86,Becky,1,oh .,oh .,1,1,1,1,1,1,1,Becky/020007.cha,514,24.233,joel's .,swirly .,lime .,are you gonna push the train along ?,how does the train go ? are you gonna push the train along ?,there you are . how does the train go ? are you gonna push the train along ?
87,Becky,1,round .,round .,1,1,1,1,1,1,1,Becky/020007.cha,530,24.233,edge .,laba .,harmouth .,how's he go ?,push it along here . how's he go ?,go . push it along here . how's he go ?
88,Becky,1,round .,round .,1,1,1,1,1,1,1,Becky/020007.cha,536,24.233,dental .,jars .,ornaments .,what ?,how's he go ? what ?,push it along here . how's he go ? what ?
89,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,542,24.233,poops .,why'd .,grandparents .,round and round ?,what ? round and round ?,how's he go ? what ? round and round ?
90,Becky,1,beep_beep horn .,beep_beep horn .,3,2,3,3,3,3,3,Becky/020007.cha,551,24.233,buses lizard alphabet .,boil benny gave .,oken mile add .,isn't that good ?,there . isn't that good ?,round and round ? there . isn't that good ?
91,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,560,24.233,bowls .,jasmin .,haven .,beep_beep the horn ?,pardon ? beep_beep the horn ?,isn't that good ? pardon ? beep_beep the horn ?
92,Becky,1,Sukie_Cat .,Sukie_Cat .,2,1,2,3,2,2,2,Becky/020007.cha,576,24.233,minnie skip .,gravel mixed .,sweaty antelopes .,here's Sukie_Cat come to see us .,you'll hafta make the noise . here's Sukie_Cat come to see us .,it hasn't got a horn . you'll hafta make the noise . here's Sukie_Cat come to see us .
93,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,608,24.233,hatses .,kingston .,crunched .,has he putting on his ear ?,what were we doing this morning ? has he putting on his ear ?,and what's the matter with Sukie Becky ? what were we doing this morning ? has he putting on his ear ?
94,Becky,1,hello Sukie .,hello Sukie .,2,2,3,4,3,3,2,Becky/020007.cha,624,24.233,la tripped .,cocoamarsh shopkeeper .,pilchard loli .,say hello to Sukie ?,there we are . say hello to Sukie ?,Sukie . there we are . say hello to Sukie ?
95,Becky,1,dinner .,dinner .,1,1,2,2,2,2,1,Becky/020007.cha,627,24.233,birdie .,dory .,center .,say hello to Sukie ?,there we are . say hello to Sukie ?,Sukie . there we are . say hello to Sukie ?
96,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,630,24.233,.,.,.,say hello to Sukie ?,there we are . say hello to Sukie ?,Sukie . there we are . say hello to Sukie ?
97,Becky,1,xxx more .,more .,1,1,1,2,1,1,1,Becky/020007.cha,639,24.233,bookcase .,checker .,colorful .,I don't think Sukie can get him .,hm ? I don't think Sukie can get him .,say hello to Sukie ? hm ? I don't think Sukie can get him .
98,Becky,1,xxx more .,more .,1,1,1,2,1,1,1,Becky/020007.cha,646,24.233,pat's .,little .,topart .,pardon ?,I don't think Sukie can get him . pardon ?,hm ? I don't think Sukie can get him . pardon ?
99,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,650,24.233,.,.,.,pardon ?,I don't think Sukie can get him . pardon ?,hm ? I don't think Sukie can get him . pardon ?
100,Becky,1,<choo^choo@o> [>] .,choo^choo .,2,1,2,2,2,2,2,Becky/020007.cha,653,24.233,caine marching [>] .,fever sloppity [>] .,fighting believe [>] .,pardon ?,I don't think Sukie can get him . pardon ?,hm ? I don't think Sukie can get him . pardon ?
101,Becky,1,in there .,in there .,2,2,2,3,2,2,2,Becky/020007.cha,663,24.233,tough duckie's .,hitted oughta .,waggin unpickidat .,where is he ?,where's Sukie now Becky ? where is he ?,pardon ? where's Sukie now Becky ? where is he ?
102,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,669,24.233,cooling .,choochie .,doedee .,is he under the table ?,where is he ? is he under the table ?,where's Sukie now Becky ? where is he ? is he under the table ?
103,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,675,24.233,dandelion .,exact .,pulling .,do you think he wants some food ?,is he under the table ? do you think he wants some food ?,where is he ? is he under the table ? do you think he wants some food ?
104,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,681,24.233,sense .,fives .,sheba's .,do you think he wants his dinner ?,do you think he wants some food ? do you think he wants his dinner ?,is he under the table ? do you think he wants some food ? do you think he wants his dinner ?
105,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,690,24.233,call .,chimney .,spit .,do you think Mummy better go and give it to him ?,do you ? do you think Mummy better go and give it to him ?,do you think he wants his dinner ? do you ? do you think Mummy better go and give it to him ?
106,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,699,24.233,carrying .,order .,latch .,.,do you think Mummy better go and give it to him ? .,do you ? do you think Mummy better go and give it to him ? .
107,Becky,1,choo^choo@o .,choo^choo .,2,1,2,2,2,2,2,Becky/020007.cha,703,24.233,neato following .,cockpit died .,dribble chilly .,.,do you think Mummy better go and give it to him ? .,do you ? do you think Mummy better go and give it to him ? .
108,Becky,1,hard .,hard .,1,1,1,1,1,1,1,Becky/020007.cha,719,24.233,clover .,ello .,fishbowl .,here you are Sukie .,. here you are Sukie .,do you think Mummy better go and give it to him ? . here you are Sukie .
109,Becky,1,hard .,hard .,1,1,1,1,1,1,1,Becky/020007.cha,722,24.233,goodness .,tam .,cheer .,here you are Sukie .,. here you are Sukie .,do you think Mummy better go and give it to him ? . here you are Sukie .
110,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,729,24.233,soggy .,dora .,dries .,it's hard ?,here you are Sukie . it's hard ?,. here you are Sukie . it's hard ?
111,Becky,1,more [>] .,more .,1,1,1,2,1,1,1,Becky/020007.cha,735,24.233,sister [>] .,sirree [>] .,policemen [>] .,what's hard ?,it's hard ? what's hard ?,here you are Sukie . it's hard ? what's hard ?
112,Becky,1,round the xxx .,round the .,2,2,2,2,2,2,2,Becky/020007.cha,750,24.233,huggle puppys .,beginnin whatever's .,steamed busses .,okay ?,let me do it . okay ?,all right . let me do it . okay ?
113,Becky,1,round there .,round there .,2,2,2,3,2,2,2,Becky/020007.cha,757,24.233,orange radido .,peg bulgie's .,held ravanelli .,hm ?,okay ? hm ?,let me do it . okay ? hm ?
114,Becky,1,round xxx .,round .,1,1,1,1,1,1,1,Becky/020007.cha,763,24.233,school .,chantilly .,okie .,it's going round where ?,hm ? it's going round where ?,okay ? hm ? it's going round where ?
115,Becky,1,round the xxx .,round the .,2,2,2,2,2,2,2,Becky/020007.cha,767,24.233,whack troll .,gloria mindin .,sasha stayed .,it's going round where ?,hm ? it's going round where ?,okay ? hm ? it's going round where ?
116,Becky,1,Pingu .,Pingu .,1,1,2,2,2,2,1,Becky/020007.cha,771,24.233,straw .,busy .,fiddle .,it's going round where ?,hm ? it's going round where ?,okay ? hm ? it's going round where ?
117,Becky,1,round the xxx .,round the .,2,2,2,2,2,2,2,Becky/020007.cha,774,24.233,any threw .,tut chuffing .,mollusks dive .,it's going round where ?,hm ? it's going round where ?,okay ? hm ? it's going round where ?
118,Becky,1,round the xxx .,round the .,2,2,2,2,2,2,2,Becky/020007.cha,778,24.233,blouse scaring .,bundle oopsies .,rotor grab .,it's going round where ?,hm ? it's going round where ?,okay ? hm ? it's going round where ?
119,Becky,1,house .,house .,1,1,1,2,1,1,1,Becky/020007.cha,781,24.233,rattle .,gie .,somersault .,it's going round where ?,hm ? it's going round where ?,okay ? hm ? it's going round where ?
120,Becky,1,Pingu('s) house .,Pingu house .,2,3,3,4,3,3,2,Becky/020007.cha,784,24.233,special trong .,diaper's army .,motorcars dahdahdahdahdah .,it's going round where ?,hm ? it's going round where ?,okay ? hm ? it's going round where ?
121,Becky,1,yeah .,yeah .,1,1,1,1,1,1,1,Becky/020007.cha,793,24.233,cyril .,portraits .,chase .,it's here .,Pingu's house ? it's here .,it's going round where ? Pingu's house ? it's here .
122,Becky,1,xxx .,.,0,0,0,0,0,0,0,Becky/020007.cha,796,24.233,.,.,.,it's here .,Pingu's house ? it's here .,it's going round where ? Pingu's house ? it's here .
